name,price,sku
Forest Animals 25-Piece Set,39.99,22225
Farm Animals 25-Piece Set,39.99,22125
Dinos 5-Piece Set,49.99,22805
Dino World 40-Piece Set,79.99,22840
Dino World XL 50-Piece Set,129.99,22850
Storage Bin Bundle 84-Piece Set,134.99,21984
Builder 32-Piece Set,49.99,21632
Jungle Animals 25-Piece Set,39.99,21225
Safari Animals 25-Piece Set,39.99,20925
Arctic Animals 25-Piece Set,39.99,21125
Metropolis 110-Piece Set,129.99,20110
Storage Bin &amp; Interactive Play-Mat,24.99,20200
Classic 32-Piece Set,49.99,02132
Classic 100-Piece Set,119.99,04300
Magna-Qubix® 85-Piece Set,69.99,19785
Cars 2-Piece Expansion Set,14.99,16022
Deluxe 48-Piece Set,74.5,12148
Glow 16-Piece Set,29.99,18816
House 28-Piece Set,49.99,18332
Freestyle 40-Piece Set,74.5,18840
ICE 16-Piece Set,29.99,18716
Stardust 15-Piece Set,29.99,18915
Magna-Qubix® 29-Piece Set,29.99,18029
Polygons 8-Piece Expansion Set,19.99,15718
Rectangles 8-Piece Expansion Set,24.99,15816
Grand Prix 50-Piece Set (Frost Colors),74.99,15850
Classic 37-Piece Set,59.99,14837
Classic 74-Piece Set,99.99,14874
